"folder","taxa","specimen","tissue"
"Anthopleura_MEX13@","Anthopleura","MEX13",
"Anthopleura_MEX15@/filament","Anthopleura","MEX15","filament"
"Anthopleuramariscali_MEX20@/filament","Anthopleura mariscali","MEX20","filament"
"AnthopleuraMEX1@/filament","Anthopleura","MEX1","filament"
"AnthopleuraMEX3@/filament","Anthopleura","MEX3","filament"
"AnthopleuraPAN49/filament","Anthopleura","PAN49","filament"
"AnthopleuraPAN49!/filament","Anthopleura","PAN49","filament"
"AnthopleuraPAN49@/filament","Anthopleura","PAN49","filament"
"AnthopleuraPAN49_/filament","Anthopleura","PAN49","filament"
"AnthopleuraPAN59/filament","Anthopleura","PAN59","filament"
"AnthopleuraPAN59!/filament","Anthopleura","PAN59","filament"
"AnthopleuraPAN59@/filament","Anthopleura","PAN59","filament"
"AnthopleuraPAN59_/filament","Anthopleura","PAN59","filament"
"AnthopleuraPAN60/filament","Anthopleura","PAN60","filament"
"AnthopleuraPAN60!/filament","Anthopleura","PAN60","filament"
"AnthopleuraPAN60@/filament","Anthopleura","PAN60","filament"
"AnthopleuraPAN60_/filament","Anthopleura","PAN60","filament"
"AnthopleuraPAN61/filament","Anthopleura","PAN61","filament"
"AnthopleuraPAN61!/filament","Anthopleura","PAN61","filament"
"AnthopleuraPAN61@/filament","Anthopleura","PAN61","filament"
"AnthopleuraPAN61_/filament","Anthopleura","PAN61","filament"
"cavusactis/acontia","Cavusactis",,"acontia"
"cavusactis/filament","Cavusactis",,"filament"
"cavusactis/pharynx","Cavusactis",,"pharynx"
"Diadumene leucolena Para/Filament/pB1 classic","Diadumene leucolena Para",,"filament"
"Diadumene leucolena Para/Filament/Pb1 tear shaped","Diadumene leucolena Para",,"filament"
"Diadumene leucolena Para@/filament","Diadumene leucolena Para",,"filament"
"Diadumene manezinhae/filament/pB1 classic","Diadumene manezinhae",,"filament"
"Diadumene manezinhae/filament/pB1 tear shaped","Diadumene manezinhae",,"filament"
"Diadumene manezinhae@/filament","Diadumene manezinhae",,"filament"
"Diadumene manezinhae@/pharynx","Diadumene manezinhae",,"pharynx"
"Edwardsia migottoi_MZUSP5353@/filament","Edwardsia migottoi","MZUSP5353","filament"
"Edwardsia migottoi_MZUSP5353@/filament1","Edwardsia migottoi","MZUSP5353","filament"
"EdwardsiaMNRJ5353/filament","Edwardsia","MNRJ5353","filament"
"EdwardsiaMNRJ5353!/filament","Edwardsia","MNRJ5353","filament"
"EdwardsiaMNRJ5353_/filament","Edwardsia","MNRJ5353","filament"
"FlytrapEX1402L3/filament","Flytrap","EX1402L3","filament"
"FlytrapEX1402L3/pharynx","Flytrap","EX1402L3","pharynx"
"MNRJ8183_Actinernus@/column","Actinernus","MNRJ8183","column"
"MNRJ8183_Actinernus@/filament","Actinernus","MNRJ8183","filament"
"MNRJ8183_Actinernus@/pharynx","Actinernus","MNRJ8183","pharynx"
"MNRJ8183_Actinernus@/tentacles","Actinernus","MNRJ8183","tentacles"
"Phelliactis americana/filament","Phelliactis americana",,"filament"
"PhelliactiscapricornisC07544/column","Phelliactiscapricornis","C07544","column"
"PhelliactiscapricornisC07544/filament","Phelliactiscapricornis","C07544","filament"
