path,taxa,specimen,tissue
Search engine/test/Anthopleura_MEX13/image0010.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0013.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0019.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0025.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0032.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0041.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0065.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0070.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0073.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0074.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0076.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0083.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0095.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX13/image0100.tif,Anthopleura,MEX13,
Search engine/test/Anthopleura_MEX15/filament/image0012.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0013.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0015.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0020.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0024.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0025.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0028.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0030.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0032.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0034.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0035.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0036.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0038.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0039.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0045.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0054.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0063.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0064.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0073.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0075.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0079.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX15/filament/image0094.tif,Anthopleura,MEX15,filament
Search engine/test/Anthopleura_MEX3/filament/image0056.tif,Anthopleura,MEX3,filament
Search engine/test/Anthopleura_MEX3/filament/image0058.tif,Anthopleura,MEX3,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0004.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0006.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0022.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0034.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0035 (2).tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0035.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0037.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0038.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0045.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0047.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0051 (2).tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0051.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0052.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0053.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/Anthopleuramariscali_MEX20/filament/image0058.tif,Anthopleura mariscali,MEX20,filament
Search engine/test/AnthopleuraMEX1/filament/image0021.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0049.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0050.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0055.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0056.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0060.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX1/filament/image0061.tif,Anthopleura,MEX1,filament
Search engine/test/AnthopleuraMEX15/filament/image0021.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0036.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0044.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0052.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0056.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0068.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX15/filament/image0074.tif,Anthopleura,MEX15,filament
Search engine/test/AnthopleuraMEX3/filament/image0010.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0012.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0013.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0018.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0022.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0026.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraMEX3/filament/image0031.tif,Anthopleura,MEX3,filament
Search engine/test/AnthopleuraPAN49/filament/image.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0001.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0003.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0004.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0005.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0010.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0015.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0016.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0017.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0023.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0024.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0025.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0031.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0037.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0040.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0042.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0045.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0055.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0057.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0058.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0060.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0063.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0067.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0074.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0076.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0080.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0081.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN49/filament/image0082.tif,Anthopleura,PAN49,filament
Search engine/test/AnthopleuraPAN59/filament/image.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0007.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0013.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0022.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0026.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0027.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0036.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0042.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0063.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0066.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0076.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0088.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0090.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0091.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0109.tif,Anthopleura,PAN59,filament
