path,taxa,specimen,tissue,path_anx,path_cal_xml,path_eax,path_lmd,path_sbx,canonical_name,length,width
Streamline process/measured/Anthopleura_MEX13@/image0010.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0010.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0010.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0010.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0010.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0010.tif.sbx,Anthopleura_MEX13__0,18.28156390197773,4.682750447924985
Streamline process/measured/Anthopleura_MEX13@/image0013.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0013.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0013.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0013.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0013.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0013.tif.sbx,Anthopleura_MEX13__1,18.348649730558083,5.097244948956521
Streamline process/measured/Anthopleura_MEX13@/image0019.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0019.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0019.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0019.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0019.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0019.tif.sbx,Anthopleura_MEX13__2,19.836707555726512,4.348499113635771
Streamline process/measured/Anthopleura_MEX13@/image0025.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0025.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0025.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0025.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0025.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0025.tif.sbx,Anthopleura_MEX13__3,19.52652846491885,4.576131821166477
Streamline process/measured/Anthopleura_MEX13@/image0032.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0032.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0032.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0032.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0032.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0032.tif.sbx,Anthopleura_MEX13__4,16.937006391139477,4.974423184927281
Streamline process/measured/Anthopleura_MEX13@/image0041.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0041.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0041.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0041.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0041.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0041.tif.sbx,Anthopleura_MEX13__5,18.982404874323244,4.141931963487073
Streamline process/measured/Anthopleura_MEX13@/image0065.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0065.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0065.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0065.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0065.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0065.tif.sbx,Anthopleura_MEX13__6,20.007967191435384,4.464287975411023
Streamline process/measured/Anthopleura_MEX13@/image0070.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0070.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0070.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0070.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0070.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0070.tif.sbx,Anthopleura_MEX13__7,21.090336345281724,4.974430280016264
Streamline process/measured/Anthopleura_MEX13@/image0073.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0073.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0073.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0073.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0073.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0073.tif.sbx,Anthopleura_MEX13__8,18.75084550831383,4.577145173816356
Streamline process/measured/Anthopleura_MEX13@/image0074.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0074.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0074.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0074.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0074.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0074.tif.sbx,Anthopleura_MEX13__9,,
